State,Table
ALABAMA,Table 9
ALASKA,Table 9
ARIZONA,Table 9
ARKANSAS,Table 9
CALIFORNIA,Table 7
COLORADO,Table 9
CONNECTICUT,Table 9
DELAWARE,Table 7
DISTRICT OF COLUMBIA,Table 9
FLORIDA,Table 9
GEORGIA,Table 9
HAWAII,Table 9
IDAHO,Table 9
ILLINOIS,Table 9
INDIANA,Table 9
IOWA,Table 9
KANSAS,Table 9
KENTUCKY,Table 9
LOUISIANA,Table 9
MAINE,Table 9
MARYLAND,Table 9
MASSACHUSETTS,Table 9
MICHIGAN,Table 9
MINNESOTA,Table 9
MISSISSIPPI,Table 9
MISSOURI,Table 9
MONTANA,Table 9
NEBRASKA,Table 9
NEVADA,Table 9
NEW HAMPSHIRE,Table 9
NEW JERSEY,Table 9
NEW MEXICO,Table 9
NEW YORK,Table 7
NORTH CAROLINA,Table 9
NORTH DAKOTA,
OHIO,
OKLAHOMA,Table 9
OREGON,Table 9
PENNSYLVANIA,Table 7
RHODE ISLAND,n/a
SOUTH CAROLINA,Table 9
SOUTH DAKOTA,Table 9
TENNESSEE,Table 9
TEXAS,Table 1
UTAH,Table 9
VERMONT,Table 9
VIRGINIA,Table 9
WASHINGTON,
WEST VIRGINIA,Table 9
WISCONSIN,Table 9
WYOMING,
